# RPairs file created from KEGG LIGAND version 49.0 reaction file
# REACTION_ID	RPAIR_ID	LEFT_CPD_ID	RIGHT_CPD_ID	LINK_TYPE
R00149	RP06023	C00011	C00169	leave
R00149	RP06025	C00014	C00169	leave
R00150	RP00003	C00002	C00008	main
R00150	RP03826	C00002	C00169	trans
R00150	RP06023	C00011	C00169	leave
R00150	RP06025	C00014	C00169	leave
R00153	RP10670	C00014	C05361	leave
R00155	RP00721	C00015	C00105	main
R00155	RP03827	C00009	C00015	main
R00155	RP05676	C00001	C00009	leave
R00155	RP05767	C00001	C00105	leave
R00156	RP00003	C00002	C00008	main
R00156	RP00047	C00015	C00075	main
R00156	RP07968	C00002	C00075	trans
R00157	RP00047	C00015	C00075	main
R00157	RP00056	C00008	C00020	main
R00157	RP07969	C00008	C00075	trans
R00158	RP00003	C00002	C00008	main
R00158	RP00721	C00015	C00105	main
R00158	RP07970	C00002	C00015	trans
R00159	RP00047	C00015	C00075	main
R00159	RP03828	C00009	C00075	main
R00159	RP05676	C00001	C00009	leave
R00160	RP00743	C00016	C00061	main
R00160	RP05688	C00001	C00020	leave
R00160	RP12349	C00016	C00020	main
R00161	RP00009	C00002	C00013	leave
R00161	RP00743	C00016	C00061	main
R00161	RP03830	C00002	C00016	main
R00162	RP00003	C00002	C00008	main
R00164	RP05676	C00001	C00009	leave
R00173	RP00784	C00018	C00250	main
R00173	RP03862	C00009	C00018	main
R00173	RP05676	C00001	C00009	leave
R00173	RP06032	C00001	C00250	leave
R00174	RP00003	C00002	C00008	main
R00174	RP00784	C00018	C00250	main
R00174	RP08098	C00002	C00018	trans
R00175	RP00058	C00019	C00170	main
R00175	RP03911	C00019	C00263	main
R00177	RP00009	C00002	C00013	leave
R00177	RP03934	C00019	C00073	main
R00177	RP05676	C00001	C00009	leave
R00177	RP08113	C00002	C00019	trans
R00177	RP12348	C00002	C00009	leave
R00178	RP03935	C00019	C01137	main
R00178	RP08122	C00011	C00019	leave
R00179	RP00058	C00019	C00170	main
R00179	RP03942	C00019	C01234	main
R00180	RP00058	C00019	C00170	main
R00180	RP03959	C00019	C02926	main
R00181	RP03973	C00020	C00130	main
R00181	RP08137	C00014	C00020	leave
R00182	RP00861	C00020	C00147	main
R00182	RP04030	C00020	C00117	main
R00182	RP05723	C00001	C00117	leave
R00183	RP00173	C00020	C00212	main
R00183	RP04035	C00009	C00020	main
R00183	RP05676	C00001	C00009	leave
R00183	RP05774	C00001	C00212	leave
R00184	RP00220	C00002	C01260	main
R00184	RP04051	C00020	C01260	main
R00184	RP06033	C00001	C00002	leave
R00185	RP00003	C00002	C00008	main
R00185	RP00173	C00020	C00212	main
R00185	RP12345	C00002	C00020	trans
R00186	RP04059	C00008	C04307	main
R00186	RP04070	C00020	C04307	main
R00186	RP05688	C00001	C00020	leave
R00187	RP04072	C00008	C06197	main
R00187	RP04083	C00020	C06197	main
R00187	RP05688	C00001	C00020	leave
R00188	RP04087	C00009	C00054	main
R00188	RP04088	C00020	C00054	main
R00188	RP05676	C00001	C00009	leave
R00188	RP05688	C00001	C00020	leave
R00189	RP00008	C00002	C00020	ligase
R00189	RP00009	C00002	C00013	ligase
R00189	RP00273	C00003	C00857	main
R00189	RP08150	C00003	C00014	leave
R00190	RP00665	C00013	C00119	leave
R00190	RP00861	C00020	C00147	main
R00190	RP04092	C00020	C00119	main
R00191	RP04093	C00020	C00575	main
R00191	RP05688	C00001	C00020	leave
R00192	RP04107	C00021	C00155	main
R00192	RP04112	C00021	C00212	main
R00192	RP05774	C00001	C00212	leave
R00193	RP04141	C00021	C03431	main
R00193	RP08224	C00014	C00021	leave
R00194	RP04157	C00021	C00147	main
R00194	RP04184	C00021	C03539	main
R00195	RP04195	C00022	C06393	main
R00195	RP08260	C00014	C06393	leave
R00195	RP10324	C00001	C00022	leave
R00195	RP10325	C00014	C06393	leave
R00196	RP00038	C00125	C00126	cofac
R00196	RP00215	C00022	C00186	main
R00197	RP00038	C00125	C00126	cofac
R00197	RP00119	C00022	C00256	main
R00198	RP00119	C00022	C00256	main
R00199	RP00010	C00002	C00009	leave
R00199	RP00036	C00022	C00074	main
R00199	RP05676	C00001	C00009	leave
R00199	RP12346	C00002	C00020	main
R00199	RP12347	C00002	C00074	trans
R00200	RP00003	C00002	C00008	main
R00200	RP00036	C00022	C00074	main
R00200	RP05785	C00002	C00074	trans
R00203	RP00002	C00003	C00004	cofac
R00203	RP00283	C00022	C00546	main
R00203	RP05680	C00001	C00022	leave
R00205	RP00001	C00005	C00006	cofac
R00205	RP00283	C00022	C00546	main
R00205	RP05680	C00001	C00022	leave
R00206	RP00036	C00022	C00074	main
R00206	RP00190	C00009	C00013	leave
R00206	RP12346	C00002	C00020	main
R00206	RP12347	C00002	C00074	trans
R00206	RP12763	C00002	C00013	leave
R00207	RP00006	C00007	C00027	cofac
R00207	RP00100	C00009	C00227	main
R00207	RP04202	C00022	C00227	main
R00207	RP05698	C00011	C00022	leave
R00208	RP00036	C00022	C00074	main
R00208	RP00122	C00009	C00074	main
R00208	RP05676	C00001	C00009	leave
R00209	RP00002	C00003	C00004	cofac
R00209	RP00007	C00010	C00024	main
R00209	RP00285	C00022	C00024	trans
R00209	RP05698	C00011	C00022	leave
R00210	RP00001	C00005	C00006	cofac
R00210	RP00007	C00010	C00024	main
R00210	RP00285	C00022	C00024	trans
R00210	RP05698	C00011	C00022	leave
R00211	RP00006	C00007	C00027	cofac
R00211	RP00007	C00010	C00024	main
R00211	RP00285	C00022	C00024	main
R00211	RP05698	C00011	C00022	leave
R00212	RP00007	C00010	C00024	main
R00212	RP00285	C00022	C00024	trans
R00212	RP04232	C00022	C00058	main
R00213	RP04248	C00022	C03015	main
R00213	RP05682	C00001	C00011	leave
R00213	RP08261	C00011	C03015	leave
R00213	RP08265	C00014	C03015	leave
R00214	RP00002	C00003	C00004	cofac
R00214	RP00287	C00022	C00149	main
R00214	RP06101	C00011	C00149	leave
R00215	RP00002	C00003	C00004	cofac
R00215	RP04249	C00022	C00497	main
R00215	RP08312	C00011	C00497	leave
R00216	RP00001	C00005	C00006	cofac
R00216	RP00287	C00022	C00149	main
R00216	RP06101	C00011	C00149	leave
R00217	RP00109	C00022	C00036	main
R00217	RP05729	C00011	C00036	leave
R00218	RP04274	C00022	C03248	main
R00218	RP08313	C00011	C03248	leave
R00218	RP10324	C00001	C00022	leave
R00219	RP04275	C00022	C03981	main
R00219	RP08323	C00011	C03981	leave
R00220	RP04290	C00022	C00065	main
R00220	RP06120	C00014	C00065	leave
R00221	RP04299	C00022	C00740	main
R00221	RP08332	C00014	C00740	leave
R00223	RP04317	C00022	C00716	main
R00223	RP08337	C00014	C00716	leave
R00224	RP04318	C00022	C00084	main
R00224	RP05698	C00011	C00022	leave
R00226	RP00291	C00022	C06010	main
R00226	RP05698	C00011	C00022	leave
R00226	RP12734	C00022	C06010	trans
R00227	RP00007	C00010	C00024	main
R00227	RP00026	C00024	C00033	main
R00227	RP05678	C00001	C00033	leave
R00228	RP00002	C00003	C00004	cofac
R00228	RP00007	C00010	C00024	main
R00228	RP04321	C00024	C00084	main
R00229	RP00003	C00002	C00008	ligase
R00229	RP00007	C00010	C00024	main
R00229	RP00010	C00002	C00009	ligase
R00229	RP00026	C00024	C00033	main
R00230	RP00007	C00010	C00024	main
R00230	RP04324	C00024	C00227	main
R00230	RP05847	C00009	C00227	leave
R00233	RP00124	C00024	C00083	main
R00233	RP05694	C00011	C00083	leave
R00234	RP00007	C00010	C00024	main
R00234	RP08340	C00024	C03011	trans
R00235	RP00007	C00010	C00024	main
R00235	RP00008	C00002	C00020	ligase
R00235	RP00009	C00002	C00013	ligase
R00235	RP00026	C00024	C00033	main
R00236	RP00007	C00010	C00024	main
R00236	RP04359	C00020	C05993	main
R00236	RP08343	C00024	C05993	trans
R00237	RP04364	C00022	C01011	main
R00237	RP04393	C00024	C01011	main
R00238	RP00007	C00010	C00024	main
R00238	RP04394	C00024	C00332	main
R00238	RP12277	C00024	C00332	trans
R00239	RP00003	C00002	C00008	main
R00239	RP04397	C00025	C03287	main
R00239	RP08344	C00002	C03287	trans
R00240	RP00003	C00002	C00008	main
R00240	RP04446	C00025	C03734	main
R00240	RP08358	C00002	C03734	trans
R00241	RP00003	C00002	C00008	main
R00241	RP04448	C00025	C05765	main
R00241	RP08359	C00002	C05765	trans
R00243	RP00002	C00003	C00004	cofac
R00243	RP00014	C00025	C00026	main
R00243	RP05697	C00001	C00026	leave
R00243	RP05779	C00014	C00025	leave
R00245	RP00002	C00003	C00004	cofac
R00245	RP04453	C00025	C01165	main
R00245	RP05695	C00001	C00025	leave
R00248	RP00001	C00005	C00006	cofac
R00248	RP00014	C00025	C00026	main
R00248	RP05697	C00001	C00026	leave
R00248	RP05779	C00014	C00025	leave
R00250	RP00006	C00007	C00027	cofac
R00250	RP00014	C00025	C00026	main
R00250	RP05697	C00001	C00026	leave
R00250	RP05779	C00014	C00025	leave
R00251	RP00003	C00002	C00008	ligase
R00251	RP00010	C00002	C00009	ligase
R00251	RP04455	C00025	C01879	main
R00251	RP05695	C00001	C00025	leave
R00253	RP00003	C00002	C00008	ligase
R00253	RP00010	C00002	C00009	ligase
R00253	RP00024	C00025	C00064	main
R00253	RP05752	C00014	C00064	leave
R00254	RP04457	C00025	C05829	main
R00254	RP05682	C00001	C00011	leave
R00254	RP08366	C00011	C05829	leave
R00256	RP00024	C00025	C00064	main
R00256	RP05695	C00001	C00025	leave
R00256	RP05752	C00014	C00064	leave
R00257	RP00008	C00002	C00020	ligase
R00257	RP00009	C00002	C00013	ligase
R00257	RP00024	C00025	C00064	main
R00257	RP00273	C00003	C00857	main
R00257	RP08456	C00003	C00064	trans
R00257	RP08467	C00025	C00857	trans
R00258	RP00014	C00025	C00026	main
R00258	RP00021	C00022	C00041	main
R00258	RP05853	C00022	C00026	trans
R00258	RP08469	C00025	C00041	trans
R00259	RP00007	C00010	C00024	main
R00259	RP04458	C00025	C00624	main
R00259	RP08475	C00024	C00624	trans
R00260	RP04459	C00025	C00217	main
R00261	RP04461	C00025	C00334	main
R00261	RP08483	C00011	C00025	leave
R00262	RP04463	C00025	C03618	main
R00264	RP00001	C00005	C00006	cofac
R00264	RP04465	C00026	C00433	main
R00264	RP05697	C00001	C00026	leave
R00265	RP00001	C00005	C00006	cofac
R00265	RP00035	C00010	C00091	main
R00265	RP00304	C00026	C00091	main
R00265	RP05677	C00011	C00026	leave
R00267	RP00001	C00005	C00006	cofac
R00267	RP00305	C00026	C00311	main
R00267	RP05857	C00011	C00311	leave
R00268	RP04494	C00026	C05379	main
R00268	RP08484	C00011	C05379	leave
R00269	RP04498	C00026	C00940	main
R00269	RP05697	C00001	C00026	leave
R00269	RP08486	C00014	C00940	leave
R00270	RP04500	C00026	C05572	main
R00270	RP05697	C00001	C00026	leave
R00271	RP00007	C00010	C00024	main
R00271	RP04508	C00026	C01251	main
R00271	RP08499	C00024	C01251	trans
R00272	RP04522	C00026	C00232	main
R00272	RP05677	C00011	C00026	leave
R00273	RP00006	C00007	C00027	cofac
R00273	RP05860	C00011	C00209	leave
R00274	RP00025	C00051	C00127	main
R00274	RP00130	C00001	C00027	cofac
R00275	RP00312	C00027	C00704	cofac
R00275	RP00316	C00007	C00704	main
R00276	RP00006	C00007	C00027	cofac
R00276	RP05682	C00001	C00011	leave
R00276	RP05806	C00011	C00237	leave
R00277	RP00006	C00007	C00027	cofac
R00277	RP00171	C00018	C00647	main
R00277	RP08513	C00014	C00647	leave
R00278	RP00006	C00007	C00027	cofac
R00278	RP04536	C00018	C00627	main
R00279	RP00006	C00007	C00027	cofac
R00279	RP00084	C00026	C00217	main
R00279	RP05697	C00001	C00026	leave
R00279	RP08516	C00014	C00217	leave
R00280	RP00233	C00088	C00533	main
R00280	RP05706	C00001	C00088	leave
R00281	RP00002	C00003	C00004	main
R00282	RP00001	C00005	C00006	main
R00283	RP00003	C00002	C00008	ligase
R00283	RP00010	C00002	C00009	ligase
R00283	RP05744	C00014	C00192	leave
R00283	RP05811	C00001	C00192	leave
R00284	RP05744	C00014	C00192	leave
R00284	RP05811	C00001	C00192	leave
R00286	RP00002	C00003	C00004	cofac
R00286	RP04543	C00029	C00167	main
R00287	RP00196	C00029	C00103	main
R00287	RP00315	C00029	C00105	main
R00287	RP05767	C00001	C00105	leave
R00287	RP05813	C00001	C00103	leave
R00289	RP00196	C00029	C00103	main
R00289	RP00382	C00013	C00075	leave
R00289	RP04546	C00029	C00075	main
R00291	RP04550	C00029	C00052	main
R00292	RP00012	C00015	C00029	main
R00293	RP04566	C00029	C04089	main
R00293	RP08555	C00001	C00029	leave
R00294	RP00319	C00533	C00887	main
R00294	RP05866	C00001	C00533	leave
R00295	RP04569	C01861	C11481	main
R00295	RP05867	C00001	C11481	leave
R00296	RP05682	C00001	C00011	leave
R00296	RP05806	C00011	C00237	leave
R00297	RP00119	C00022	C00256	main
R00298	RP04572	C00026	C03196	main
R00299	RP00003	C00002	C00008	main
R00299	RP00060	C00031	C00092	main
R00299	RP08556	C00002	C00092	trans
R00300	RP00002	C00003	C00004	cofac
R00300	RP00321	C00031	C00198	main
R00301	RP00001	C00005	C00006	cofac
R00302	RP00006	C00007	C00027	cofac
R00302	RP04580	C00031	C02779	main
R00303	RP00060	C00031	C00092	main
R00303	RP04650	C00009	C00092	main
R00303	RP05676	C00001	C00009	leave
R00303	RP05679	C00001	C00031	leave
R00304	RP00208	C00031	C00103	main
R00304	RP05676	C00001	C00009	leave
R00304	RP10595	C00009	C00103	leave
R00305	RP00321	C00031	C00198	main
R00306	RP00324	C00031	C00185	main
R00306	RP05679	C00001	C00031	leave
R00307	RP04656	C00031	C00095	main
